sasdate,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,USREC
1960-01-01,5.655089589528045,-1.1696457433901393,-3.0961572835591795,0.15673999915997672,0.32973476171005023,-2.383275409989013,-0.6106715515534997,3.2718311429984537,-2.0486875494282453,2.6504316042044738,1.1291824679941995,0.11624723826634518,0
1960-02-01,0.004237789802911332,0.27001389284761795,1.3698655957724373,-1.76492477711499,-0.08362385833755616,2.332835254206703,-2.723044295807787,-1.8119839586087514,-1.8550589359650325,2.3057192864953655,-1.7053677731020151,-1.6000488207422419,0
1960-03-01,-5.723594260983137,0.8162257065426051,0.29503070310876356,-3.6973858776879656,-1.033575134793786,-0.7504923280917474,-5.271299251989595,0.9055792002615634,-1.3575832278520559,0.36963962560368785,-0.18031562298514314,-0.5944059349497125,0
1960-04-01,1.9256795739045167,1.164872488977058,1.0376726122410191,-2.818673487193713,-1.277569865215595,0.4515431207759662,-3.5678457500327867,-2.492126152943797,0.45985886101288787,0.06052128706581221,-5.914278571443461,2.2945425121182685,0
1960-05-01,-4.041521918311708,-1.6380817698736243,0.2746824174266136,0.976113022906697,-0.6754701133619514,-0.5771154938509657,0.04100617555424477,0.6548875491722326,-4.103018676928762,2.415362515875374,2.657374092830639,-2.629331721878097,1
1960-06-01,-5.04014354217637,1.0252811221736142,-0.03995800776519407,-4.031409372097473,0.6676405771657503,-1.3385838148091576,-2.549194506492924,-1.2774601400381254,-0.9612164742740604,1.1738405416772428,-1.9247363870305663,0.874296771562578,1
1960-07-01,-2.772195934477973,0.852128483672364,0.24921411501587976,-2.2037235818239647,-0.7085902819587112,-1.3136621886083126,-2.903390873898122,0.1530187628590557,-1.677454930845281,0.21195637194889247,1.3502909301347243,-0.5979889854874694,1
1960-08-01,-1.9795888910275352,0.5151590777026223,0.8558968621463057,-2.017213404039748,0.10124877962746294,-1.075736363126596,-1.8783979405651934,0.19973160410344118,-2.3384524005823675,0.8273891047048391,-0.8325278603532955,-1.3437645211535316,1
1960-09-01,-2.509629310243317,0.43639317176357756,-0.7740391014475381,-0.8752763223237573,-1.0704374005461519,-2.11453803370632,-3.2557851187960956,-1.739774947889923,-2.0385231602714198,1.2317360365447338,-0.4341947741748938,1.2458133325424592,1
1960-10-01,-2.7870297255823924,2.8119970601580957,0.5728084230291498,-0.0820492068947372,-0.7872110008491153,-3.5223791965249105,-5.304436074523686,1.0603234589209656,-0.05423819180728401,-0.3679797269586013,1.1684510971922564,0.34139033059081164,1
