sasdate,0,1,2,3,4,5,6,7,8,9
1960-01-01,1.3994455281490037,1.036409356812479,-2.2919467604707315,2.1745387484884295,0.9086297592135614,-0.752476414807167,-0.3174238412823608,1.3100730584995086,1.6033329379413543,0.22895596451341851
1960-02-01,-0.24690169774908946,0.15295027828253188,-1.1573904326449647,-0.8712813046873792,0.04848601663699904,-0.23358942814834024,-0.397040556150372,-2.621915841596615,1.5681688940007048,-0.20191766370486444
1960-03-01,-2.020547494820751,0.1066199934316913,-1.8756146773857054,0.5479768410443487,-0.3230325316799644,-0.22265380335010432,-0.04078624223894851,-1.361852770397161,1.3857907619146101,1.9165521951682836
1960-04-01,-1.2754995183676514,-0.19059131232112805,-0.7073942022103502,-0.5673501317189159,0.2512183384369675,0.623974397889141,1.3081560053250776,-2.3741533397006473,0.7823642216545391,3.4163023028613364
1960-05-01,-1.1017942137414098,0.3054169695653793,-0.946296777158837,1.5034529233931653,1.4509204868598804,-0.16621157366466602,-0.048758685067133434,0.3718545534571585,1.7258717447899716,0.6513251913925564
1960-06-01,-1.5313446128368466,0.2731578083687599,-0.6608142709298814,0.7467566340339425,-0.8765098947331512,-0.4450269311934582,1.12221020497831,-1.9573604131557707,1.3798403265090604,0.2650254419276873
1960-07-01,-0.4999622452500866,0.14816425882530226,-1.1061429670141494,0.14183131038272967,0.8111164933022889,0.0018942280921790196,0.11577909859856927,-1.5301226526673322,1.2286550236510423,-0.7109328076986192
1960-08-01,-0.6453730508244383,0.20277876397877545,-0.8836133358853887,0.9010729430723444,0.31581830984746523,0.5756627751716996,0.60156169306985,-1.3315865255965402,1.20556074437714,0.25878304619349957
1960-09-01,-1.188099189241397,-0.10317719041707973,-0.8954237604025652,0.2819049453827182,1.7560346129801874,0.1990646572680414,0.280155938656668,-1.9703685438626388,0.45724251307944636,0.4767965605395877
1960-10-01,-1.2050472260498666,0.5723525393500226,-1.7265847543401858,1.3143068202195327,0.8251993378443876,0.9262592364527625,-0.3532123846105286,-0.7313150742075281,1.0397305246317394,1.489853180096944
1960-11-01,-1.8061276813067153,0.05944550496643405,0.39943816755125555,0.453934040410883,1.0182444275525382,0.5064434438445065,1.3421886690503673,-2.625023735425892,0.8312414860643486,0.4479476085860955
1960-12-01,-2.2976576410555114,-0.31550269768819467,-0.45076681042009925,1.5766094068875613,1.024042558522748,0.7776287882440701,0.9778520024427253,-2.7367345647325565,-0.11928961419250167,0.7953941408299673
1961-01-01,-0.2136941155306045,0.8346735503920242,0.19434585407683602,1.4689560686018779,1.1018683138372771,0.029141532088665753,1.5389375871905768,-1.7510101203289405,0.4995312891674873,-1.165581478567746
