sasdate,0,1,2,3,4,5,6,7,8,9
1960-01-01,-1.2920872959331844,0.6943586318931793,-2.630827778948015,-1.0308659756509795,1.4152166037220835,-0.548218818364743,0.9946813176887838,-1.6127140452729658,1.620522518855328,-0.17671616401989126
1960-02-01,0.3507893053502626,1.420492979146741,-0.16074389893440502,1.9154149811342769,-0.12081482840920725,-1.6650414680520453,-0.7575905514291116,0.7852772442335587,1.5471229241001543,0.28646727450296805
1960-03-01,2.1434299341251606,1.0474644799198034,-1.2007010706510226,1.4077337296247057,0.904109351800283,-0.8265259382288095,-0.031713267982399124,0.10594841304942058,1.170761418480612,-1.8443426842144675
1960-04-01,1.3884617494215612,0.8819402356043,0.029307118802898047,1.5339120188702655,-0.06994468753903596,-0.8914447649206091,0.4917902093552209,2.112456183171106,0.8334422983359592,-3.3339782509196527
1960-05-01,1.2071146309278245,1.1701081600901428,-1.0831316788997478,-0.9369748683189035,0.5463633766948071,-0.8026011813287072,1.249829520355311,-0.7932362596099086,1.2609666826758341,-0.5581104445023409
1960-06-01,1.6440164800967279,0.9942318570914775,0.005291072623990028,1.292791366666498,1.6430048514279971,-0.19365701234364455,-0.011052187981528827,1.1481027362791283,1.3806656717071164,-0.1982654190188098
1960-07-01,0.623358972476978,1.0001500799610967,-0.5442763562667962,0.7628043948687309,0.11928152815579282,-1.3739700111678448,0.39665629592921353,0.5229818414853581,1.2056152961224664,0.7535859427011103
1960-08-01,0.7604972747248104,0.9977812629055055,-0.42811766774939436,0.925737444407966,0.5928773164511401,-0.5696735424882369,1.144087097109188,0.544923340656382,1.2773332991548159,-0.17444899043887513
1960-09-01,1.301736259114774,0.4908187301266961,-0.12895616968640627,0.602328287091037,-0.10097128826138492,-2.189330234394447,1.0807032330850737,0.8581716031646888,0.8005380036629289,-0.42311743604248997
1960-10-01,1.3221148593803627,0.5772697150815391,-1.275138663020648,0.8985696413604883,0.21242624049049721,-0.9130366731066363,1.543607165341565,-0.6206302007708018,1.4315552349891971,-1.4528679632238397
1960-11-01,1.9135763049591195,0.8141166058252302,1.1843421358396733,0.8178784146150883,0.3763690136369627,-1.252761325024811,1.3146122107045453,1.8007964258675218,1.303636247778404,-0.3921958476620585
1960-12-01,2.421042506208565,0.13395986970620993,0.6793957826963805,1.4158599182102805,1.03305549087014,-1.7057246249339115,2.1440364854806653,1.1729595591366384,0.609986867739947,-0.732049617819747
1961-01-01,0.2945304567978973,0.062217971971916156,0.6984481308115054,-0.002957135830195667,1.2241985070618535,-0.9784975741207906,1.6636844075795492,1.256167262081986,1.60977271953813,1.1751081752343393
1961-02-01,1.1349138436085784,0.6575688590490695,-0.24874671510499888,-0.00514908438707008,0.7084268524672599,-0.30225117012886626,2.312806073850402,0.5370872057486651,1.300899782860549,-0.6054088601565313
1961-03-01,-0.21674947163039,0.29664954537712235,0.08045170291572283,0.38412686647251765,1.1294968168168076,-1.0349552452477098,1.5735232898036788,1.0291495415159189,1.3651333775127912,0.8520058212239052
1961-04-01,-0.8119512289489749,-0.13797548623557512,-1.5970200347253296,-0.7115826222927957,1.755169488568003,-0.45159504501809494,2.5661584891908986,-1.1382270130024443,1.6865840740442124,1.1751820753135518
1961-05-01,-1.1771363334442455,0.2457074371988679,-0.9927459044577165,0.3903673692384161,0.7774420743151167,-0.6868570414247392,1.796577937524575,-0.051146340542621155,1.5210264685176824,1.7196440071328205
1961-06-01,-0.7978341395122217,0.20562895885886348,-0.676620001653904,0.15132309450187612,0.3873841563111581,-1.3387405621321176,1.3113749768240657,-0.2643851290733304,1.747228752612509,0.48451029150585867
1961-07-01,-0.4868377012798836,0.13920897955872436,-0.5973915734401312,0.9356270894586419,0.3699387307297795,-0.8271681882712318,1.1838988796230767,-0.5155002633014246,2.2689692002771746,0.48337587270390137
1961-08-01,-0.8488491726761939,0.40161876375343086,0.13874242063555592,-0.5975972880376051,0.8343961435504931,-0.7425409602036709,1.3888968033471405,0.6183933249837585,1.8582628514031547,0.8682430598856031
1961-09-01,0.026830840341595098,0.6518414719524922,0.7490236172827389,1.1384490773444986,0.10172053935758964,-1.7327737318306757,0.8408997067817262,0.6852719910295293,1.6789766973729157,1.610324456297752
1961-10-01,-0.5899307613895728,0.3452610973314631,-1.4491733341424948,-0.549854319700837,1.1630158854002837,-0.32442195313407024,1.3569117933577965,-0.8861669990326061,1.6972261216903874,-0.8300679987102831
1961-11-01,-0.9220098631603121,0.6581912439438098,-0.8440487234031526,-0.7049012290748387,1.0029266930087863,0.2699232274172861,1.190096897382081,0.12849881219296969,1.9110767076807331,-0.2582479864410809
1961-12-01,-0.7521684458906592,0.6775634143493271,-0.32333540254592386,0.12945264234956652,0.15408810858886174,-0.5728195730992809,1.1728091166356136,-0.0250648889123841,1.8637205805896764,1.0883473731890938
1962-01-01,0.9073955943896993,0.661982212519284,0.4790023567016959,1.3551418576399668,-0.6066363135519653,-1.9432372725846365,0.4615723571433926,0.49319285928371165,1.4776220214673,-0.35076704725252666
1962-02-01,-1.2402601604363197,0.5144902222381835,-0.5367173559316388,0.407523984596693,0.3839413326178934,-0.34458925623192743,0.9397271066330671,0.23999386563722042,1.804421199727301,1.0248761298511382
1962-03-01,-0.0026982231283207625,0.8997538596948962,-0.7138541207183677,-0.2466542438822744,0.8131735305974735,-0.58279440886638,0.2949252032610061,-0.10331428740598247,1.5748910509386997,-0.4488723266281788
